custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
6416-GRZFIU-NYI,Zone 2,"> 250,000",Male,62,50-64,June,15,Some college,Managerial and Professional,No,3,2 to 5,No,43,7.4,1.68646,0.522631657,1.49554,0.402487346,No,Somewhat satisfied,Married,15,Some college,2,14,0,2,0,0,0,0,12,Own,Single-family,23,16 to 25,1,Lease,Import,15.5,Economy,No,No,Walk,Non-motorized,27,No,Yes,Yes,No,No,No,No,Yes,No,No,No response,Moderate,No,No,Yes,Discover,None,Other,No,7,6 to 10,Visa,Other,Cash back,Yes,4,2 to 5,5,105.09,12,420.98,No,Oatmeal,21,No,3.55,71.15,Yes,15.75,348.65,No,0,0,No,0,0,No,0,0,No,No,No,Dial-up,No,Yes,Yes,Yes,No,Yes,24,Yes,Yes,Yes,,Yes,No,Yes,No,No,No,No,No
0526-BBXATD-XM2,Zone 3,"50,000-249,999",Female,72,>65,July,20,Post-undergraduate degree,Service,No,40,More than 15,Yes,11,12.2,0.4697,-0.755661086,0.8723,-0.136621878,No,Somewhat satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,34,More than 25,1,Lease,Import,5.6,Economy,No,Yes,Walk,Non-motorized,27,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Prices,Moderate,No,No,No,Discover,Other,Airline miles,Yes,39,More than 15,Visa,Gold,None,No,30,More than 15,2,33.01,1,26.6,Yes,Oatmeal,72,No,69.25,5010.05,No,0,0,Yes,46.4,3299.6,Yes,34,2305,No,0,0,Yes,No,No,Other,No,No,No,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
5969-ELOXBK-SUZ,Zone 2,"2,500-9,999",Female,72,>65,March,18,College degree,Sales and Office,No,8,6 to 10,No,82,2.2,0.425744,-0.853917052,1.378256,0.320818932,No,Highly satisfied,Married,14,High school degree,2,5,0,0,0,0,0,0,5,Rent,Multiple-Family,34,More than 25,5,Own,Import,35.4,Standard,Yes,No,Car,Single occupancy,25,Yes,No,No,No,No,No,No,Yes,No,No,Prices,Moderate,Yes,No,Yes,Discover,Gold,Airline miles,No,37,More than 15,Mastercard,None,Other,No,26,More than 15,10,567,3,109.32,No,Oatmeal,70,Yes,35.35,2442.15,Yes,31,2075.65,Yes,55.25,3872,Yes,33,2375,Yes,76.15,5206.5,Yes,No,No,Other,No,Yes,Yes,Yes,Yes,Yes,17,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
4773-NVRONP-WTV,Zone 2,"10,000-49,999",Female,50,50-64,June,17,College degree,"Operation, Fabrication, General Labor",No,12,11 to 15,No,47,6.4,1.576192,0.455011811,1.431808,0.358937981,No,Highly satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,20,16 to 25,1,Own,Import,18.8,Economy,Yes,No,Bus,Public transportation,28,No,No,No,Yes,Yes,No,No,No,No,No,No response,Moderate,No,No,No,Visa,Other,None,No,19,More than 15,Mastercard,Gold,None,No,17,More than 15,9,179.8,3,55.14,No,Oatmeal,52,No,9.75,477.7,Yes,58,2930.05,No,0,0,Yes,23.5,1120,Yes,47.85,2377.45,Yes,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes,,Yes,No,No,Yes,No,No,No,Yes
8609-KDLWPI-2KT,Zone 3,"2,500-9,999",Male,21,18-24,May,16,Some college,"Operation, Fabrication, General Labor",Yes,0,Less than 2,No,20,8.4,0.89208,-0.114199464,0.78792,-0.238358717,Yes,Somewhat dissatisfied,Unmarried,Not married,Not married,1,1,0,0,1,0,0,0,0,Own,Single-family,1,Less than 3,1,Own,Import,9.2,Economy,No,Yes,Carpool,Multiple occupancy,23,No,No,Yes,No,No,No,Yes,Yes,No,No,No response,Conservative,No,No,No,Visa,None,Airline miles,Yes,3,2 to 5,Discover,None,Airline miles,No,3,2 to 5,13,417.84,4,112.84,Yes,Energy bar,39,No,13.2,524.65,Yes,23.75,928.5,No,0,0,No,0,0,Yes,36.2,1294.4,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
3283-RADVTY-AS8,Zone 3,"< 2,500",Male,99,,December,14,High school degree,Managerial and Professional,No,21,More than 15,Yes,12,30.2,2.02944,0.707759893,1.59456,0.466597836,No,Somewhat satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Multiple-Family,41,More than 25,0,N/A,N/A,-1,N/A,N/A,Yes,Carpool,Multiple occupancy,24,No,No,Yes,No,No,No,No,Yes,No,No,Convenience,Moderate,Yes,No,No,Discover,Gold,None,No,38,More than 15,American Express,Other,Cash back,No,27,More than 15,7,154.12,7,141.75,Yes,Cereal,70,No,23.25,1661.4,No,0,0,No,0,0,Yes,33.25,2415,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,17,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
4064-UGUXPQ-PEA,Zone 4,"2,500-9,999",Female,37,35-49,April,19,College degree,Managerial and Professional,No,6,6 to 10,No,28,7.4,0.401968,-0.911382796,1.670032,0.512842788,No,Somewhat dissatisfied,Unmarried,Not married,Not married,2,9,3,0,0,0,0,0,6,Rent,Multiple-Family,11,8 to 15,2,Own,Import,20.3,Standard,No,Yes,Car,Single occupancy,27,Yes,No,No,Yes,No,No,No,No,No,Yes,No response,Slightly liberal,Yes,No,Yes,Mastercard,Other,Other,No,19,More than 15,Visa,Gold,Other,No,18,More than 15,8,171.65,5,93.47,No,Cereal,56,No,8.5,477.85,No,0,0,Yes,37.1,2158.5,Yes,14.25,770,Yes,34.95,1889.05,Yes,No,No,DSL,No,No,No,No,Yes,Yes,17,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
0844-FSBEEB-811,Zone 3,"50,000-249,999",Female,31,25-34,May,19,College degree,Service,No,3,2 to 5,No,118,13.5,5.01795,1.613021484,10.91205,2.389867683,Yes,Somewhat dissatisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,8,8 to 15,3,Own,Domestic,41.4,Luxury,No,Yes,Car,Single occupancy,24,Yes,No,No,No,No,No,No,No,No,Yes,Convenience,Slightly conservative,No,No,Yes,American Express,Platinum,None,Yes,13,11 to 15,Mastercard,Platinum,Airline miles,No,14,11 to 15,8,495.7,1,97.29,Yes,Cereal,40,Yes,5.8,227.1,No,0,0,Yes,54.1,2219.15,No,0,0,Yes,53.95,2149.85,Yes,Yes,Yes,Cable modem,Yes,Yes,No,No,Yes,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
3081-UEBCUD-LUW,Zone 1,"> 250,000",Female,68,>65,April,13,High school degree,Sales and Office,No,13,11 to 15,Yes,,17.9,1.48749,0.397090136,0.30251,-1.195640944,No,Highly satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,,Multiple-Family,17,16 to 25,1,Lease,Domestic,4.6,Economy,Yes,No,Telecommute,Telecommute,26,No,No,Yes,No,No,No,No,Yes,No,Yes,No response,Slightly liberal,No,No,No,Discover,Gold,Other,No,21,More than 15,Visa,Platinum,Other,No,15,11 to 15,12,197.92,3,55.57,No,Oatmeal,44,No,15.3,693.3,No,0,0,No,0,0,Yes,4.75,180,No,0,0,Yes,No,No,Dial-up,No,No,No,No,No,Yes,15,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No
3080-MPQSVQ-2RS,Zone 5,"> 250,000",Female,44,35-49,April,15,Some college,Sales and Office,Yes,8,6 to 10,No,144,10.5,4.74768,1.557656078,10.37232,2.339140719,Yes,Somewhat satisfied,Married,15,Some college,6,3,0,0,3,0,0,0,0,Own,Condominium/Townhouse,9,8 to 15,3,Own,Import,52.7,Luxury,No,Yes,Car,Single occupancy,29,Yes,No,Yes,No,No,No,No,No,No,No,No response,Slightly conservative,Yes,Yes,Yes,American Express,Other,Other,Yes,14,11 to 15,Discover,Gold,Cash back,No,9,6 to 10,10,634.56,5,182.26,Yes,Energy bar,39,Yes,4.8,171.5,Yes,23,930.1,No,0,0,No,0,0,Yes,32.85,1271.4,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
3634-FLTAJS-KXN,Zone 5,"< 2,500",Male,29,25-34,February,12,High school degree,Managerial and Professional,No,2,2 to 5,No,,10.1,0.527725,-0.639179964,1.997275,0.691783752,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,1,1,0,0,0,0,0,0,Own,Condominium/Townhouse,7,4 to 7,3,Own,Domestic,15.5,Economy,No,No,Car,Single occupancy,30,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Convenience,Moderate,No,No,No,Visa,Other,Cash back,No,11,11 to 15,Mastercard,None,Airline miles,No,11,11 to 15,4,66.24,5,87.42,Yes,Energy bar,45,No,8.2,363.65,No,0,0,No,0,0,Yes,7.5,325,No,0,0,Yes,No,No,Other,No,No,No,No,Yes,Yes,18,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
3385-TQXPQZ-97K,Zone 3,"> 250,000",Male,24,18-24,March,15,Some college,Service,No,1,Less than 2,No,,2.5,0.5551,-0.588607001,0.9699,-0.030562306,Yes,Neutral,Unmarried,Not married,Not married,3,3,3,0,0,0,0,0,0,Own,Condominium/Townhouse,4,4 to 7,3,Own,Domestic,23,Standard,Yes,Yes,Car,Single occupancy,21,Yes,Yes,No,No,No,No,No,Yes,No,No,No response,Moderate,No,Yes,No,Discover,Platinum,Airline miles,No,3,2 to 5,Other,Gold,None,No,2,2 to 5,9,254.42,5,98.04,Yes,Cereal,4,No,3.7,15.4,Yes,34.5,110.5,No,0,0,Yes,9,25,No,0,0,No,No,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes
4971-IVMCPY-04B,Zone 3,"2,500-9,999",Male,77,>65,April,15,Some college,Sales and Office,No,5,2 to 5,Yes,13,12.9,0.192855,-1.645816668,1.484145,0.394838849,No,Somewhat dissatisfied,Married,15,Some college,2,1,0,1,0,0,0,0,0,Rent,Multiple-Family,47,More than 25,2,Own,Import,7,Economy,No,No,Bus,Public transportation,26,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No response,Conservative,Yes,No,Yes,American Express,Gold,Airline miles,No,38,More than 15,Discover,Platinum,Other,No,29,More than 15,11,389.53,7,191.22,No,Oatmeal,69,No,31.7,2314.6,No,0,0,No,0,0,Yes,15.5,990,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,23,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
9569-AUARYI-SOV,Zone 1,"10,000-49,999",Female,25,25-34,December,15,Some college,Managerial and Professional,Yes,0,Less than 2,No,17,0.8,0.046512,-3.068044935,0.089488,-2.413650741,No,Highly dissatisfied,Married,17,College degree,4,0,0,0,0,0,0,0,0,Rent,Multiple-Family,2,Less than 3,3,Own,Domestic,8.1,Economy,Yes,No,Car,Single occupancy,34,Yes,No,No,No,Yes,No,No,No,No,No,No response,Moderate,Yes,No,No,Discover,Platinum,Cash back,No,7,6 to 10,American Express,Other,None,No,7,6 to 10,12,379.31,6,269.8,Yes,Cereal,15,No,4.2,71.4,No,0,0,No,0,0,Yes,8.75,120,Yes,34.3,476.2,Yes,Yes,Yes,Dial-up,No,No,Yes,No,No,Yes,21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
4104-UGSCCQ-NYI,Zone 5,"> 250,000",Male,44,35-49,September,12,High school degree,"Precision Production, Craft, Repair",No,15,11 to 15,No,38,8.5,1.8734,0.627754962,1.3566,0.30498157,No,Somewhat satisfied,Unmarried,Not married,Not married,1,6,0,0,0,0,0,6,0,Rent,Multiple-Family,19,16 to 25,3,Lease,Domestic,24.7,Standard,No,No,Car,Single occupancy,20,Yes,No,No,Yes,Yes,No,No,No,No,No,No response,Conservative,No,No,Yes,Visa,Platinum,None,No,11,11 to 15,Mastercard,Other,Cash back,No,11,11 to 15,6,184,8,321.29,No,Cereal,29,No,9.8,261.95,Yes,15.25,415.05,No,0,0,Yes,7,175,No,0,0,Yes,No,No,DSL,No,No,No,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
8046-SGRUMI-FTE,Zone 2,"10,000-49,999",Male,65,>65,August,11,Did not complete high school,Agricultural and Natural Resources,No,33,More than 15,Yes,36,9.5,0.94734,-0.054097222,2.47266,0.905294494,No,Neutral,Unmarried,Not married,Not married,1,1,1,0,0,0,0,0,0,Rent,Multiple-Family,27,More than 25,3,Own,Domestic,16.2,Economy,No,No,Car,Single occupancy,32,Yes,No,No,Yes,No,Yes,No,No,No,No,No response,Slightly liberal,No,No,Yes,Discover,Other,Airline miles,No,28,More than 15,Mastercard,Other,Other,No,22,More than 15,6,136.54,4,111.94,No,Oatmeal,63,No,12.75,772.55,No,0,0,No,0,0,Yes,8.5,535,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,13,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
1458-OZFBTY-TB2,Zone 2,"< 2,500",Male,49,35-49,April,14,High school degree,Sales and Office,No,4,2 to 5,No,,12.5,0.870625,-0.138543934,3.504375,1.254012188,No,Highly dissatisfied,Married,10,Did not complete high school,5,3,2,1,0,0,0,0,0,Own,Mobile Home,23,16 to 25,0,N/A,N/A,-1,N/A,N/A,No,Walk,Non-motorized,39,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No response,Moderate,No,No,No,American Express,Gold,Cash back,No,27,More than 15,Discover,None,None,No,14,11 to 15,11,576.32,8,384.01,Yes,Cereal,44,No,17.45,773.9,No,0,0,No,0,0,Yes,7,305,No,0,0,No,No,No,None,No,No,No,No,No,Yes,13,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No
5392-FMQURA-29L,Zone 5,"< 2,500",Female,29,25-34,October,14,High school degree,Managerial and Professional,No,2,2 to 5,No,18,2.7,0.228906,-1.47444384,0.257094,-1.358313502,Yes,Neutral,Married,14,High school degree,4,0,0,0,0,0,0,0,0,Rent,Multiple-Family,2,Less than 3,3,Own,Domestic,9.3,Economy,No,No,Car,Single occupancy,23,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No response,Moderate,No,No,No,Visa,Platinum,None,No,5,2 to 5,Mastercard,Other,Other,No,3,2 to 5,15,483.18,4,123.39,No,Cereal,14,No,8.1,103.9,No,0,0,Yes,29.75,348.4,No,0,0,Yes,22,311.5,No,Yes,Yes,Cable modem,No,No,Yes,No,Yes,Yes,19,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
4491-FFVLMO-72B,Zone 2,"> 250,000",Female,21,18-24,January,16,Some college,Managerial and Professional,No,0,Less than 2,No,16,14.4,1.006848,0.006824659,1.297152,0.260171092,No,Somewhat dissatisfied,Unmarried,Not married,Not married,4,0,0,0,0,0,0,0,0,Rent,Condominium/Townhouse,1,Less than 3,4,Own,Import,6.3,Economy,Yes,No,Car,Single occupancy,20,Yes,No,No,No,Yes,No,No,No,No,No,No response,Conservative,Yes,No,Yes,Discover,Platinum,Airline miles,No,3,2 to 5,Mastercard,Other,None,No,3,2 to 5,8,237.29,5,125.03,No,Energy bar,46,Yes,5.3,233.5,No,0,0,Yes,30.55,1353.95,No,0,0,No,0,0,Yes,No,No,Cable modem,No,No,No,No,Yes,Yes,15,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
0811-IXUPGT-TUF,Zone 4,"< 2,500",Female,29,25-34,June,23,Post-undergraduate degree,Managerial and Professional,No,0,Less than 2,No,199,19,8.99878,2.197089013,28.81122,3.360764895,Yes,Highly dissatisfied,Married,23,Post-undergraduate degree,4,3,2,1,0,0,0,0,0,,Single-family,9,8 to 15,1,Own,Domestic,94,Luxury,No,No,Walk,Non-motorized,36,No,Yes,No,Yes,No,No,No,Yes,No,No,No response,Slightly conservative,No,No,Yes,American Express,Other,Airline miles,No,11,11 to 15,Mastercard,Platinum,Airline miles,No,11,11 to 15,6,360.5,4,305.59,No,Oatmeal,46,Yes,9.3,400.75,Yes,48.25,2312.35,Yes,54.95,2443.25,Yes,9.5,420,Yes,68,3076.1,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,24,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes
9591-DHXYZG-V8E,Zone 2,"50,000-249,999",Female,24,18-24,March,15,Some college,Sales and Office,No,0,Less than 2,No,28,14.3,1.753752,0.561757493,2.250248,0.811040432,Yes,Highly dissatisfied,Unmarried,Not married,Not married,1,4,2,1,0,1,0,0,0,Rent,Multiple-Family,1,Less than 3,2,Own,Domestic,13.7,Economy,No,No,Car,Single occupancy,20,Yes,No,No,Yes,No,No,Yes,No,No,No,Convenience,Slightly conservative,No,No,Yes,American Express,Other,None,No,1,Less than 2,Mastercard,Platinum,None,No,1,Less than 2,8,439.52,8,597.89,Yes,Energy bar,5,No,2.05,9.75,Yes,20.25,119.3,No,0,0,Yes,13,65,Yes,21.1,75.35,No,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,No,Yes,19,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
4006-DKNBRW-0XC,Zone 1,"50,000-249,999",,27,25-34,September,13,High school degree,Managerial and Professional,No,3,2 to 5,No,,7.6,0.901968,-0.103176236,2.366032,0.86121429,Yes,Neutral,Married,13,High school degree,4,5,1,0,0,0,4,0,0,Own,Single-family,7,4 to 7,2,Own,Import,24.4,Standard,Yes,No,Bus,Public transportation,25,No,No,No,Yes,No,No,No,No,No,No,Other,Slightly liberal,No,No,No,Mastercard,None,Cash back,No,9,6 to 10,American Express,None,Other,No,9,6 to 10,12,354.27,7,162.57,Yes,Cereal,35,No,12.3,464.75,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,None,Yes,No,Yes,No,No,Yes,19,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
3932-BXYINB-Z8X,Zone 1,"> 250,000",Male,67,>65,March,8,Did not complete high school,"Operation, Fabrication, General Labor",Yes,30,More than 15,Yes,,2,0.58158,-0.542006741,1.03842,0.037700327,No,Somewhat satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,35,More than 25,3,Own,Import,50.1,Luxury,No,Yes,Car,Single occupancy,23,Yes,No,Yes,No,No,No,No,No,No,Yes,No response,Moderate,No,No,Yes,Mastercard,Platinum,None,No,23,More than 15,Visa,Platinum,Other,Yes,18,More than 15,10,426.91,7,271.51,Yes,Cereal,55,No,16.05,904,No,0,0,No,0,0,Yes,8,400,No,0,0,No,No,No,None,No,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
3772-GPSMXT-1YH,Zone 3,"2,500-9,999",Male,33,25-34,June,17,College degree,Sales and Office,Yes,1,Less than 2,No,47,11.4,2.121768,0.752249703,3.236232,1.17440969,No,Neutral,Unmarried,Not married,Not married,3,8,2,0,0,0,0,0,6,Own,Single-family,11,8 to 15,2,Own,Domestic,27.6,Standard,Yes,No,Car,Single occupancy,24,Yes,No,No,No,No,No,No,No,No,No,No response,Moderate,No,No,No,Discover,None,Airline miles,No,16,More than 15,American Express,None,Cash back,No,8,6 to 10,11,333.43,2,81.5,Yes,Energy bar,17,No,5.35,80.3,No,0,0,No,0,0,Yes,18.25,295,No,0,0,No,Yes,No,None,No,Yes,No,No,Yes,Yes,16,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
0883-XZQPJO-8Y7,Zone 1,"2,500-9,999",Male,99,,July,17,College degree,Sales and Office,Yes,1,Less than 2,No,40,7.1,0.64468,-0.439001209,2.19532,0.786327822,No,Neutral,Unmarried,Not married,Not married,2,1,1,0,0,0,0,0,0,Rent,Multiple-Family,4,4 to 7,3,Own,Domestic,21.7,Standard,Yes,No,Car,Single occupancy,27,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No response,Slightly conservative,No,No,Yes,Discover,Platinum,Other,No,10,6 to 10,American Express,Other,Other,No,4,2 to 5,6,108.76,1,20.46,No,Energy bar,11,No,11.45,115,Yes,33.5,328.3,Yes,46.7,469,Yes,19.75,200,Yes,52.3,511.75,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
6363-BTCPXJ-NEO,Zone 1,"> 250,000",Female,20,18-24,September,15,Some college,Service,No,0,Less than 2,No,28,1.2,0.159936,-1.832981544,0.176064,-1.736907714,No,Highly dissatisfied,Married,16,Some college,4,3,0,0,3,0,0,0,0,Own,Single-family,1,Less than 3,2,Own,Import,12.1,Economy,Yes,No,Car,Single occupancy,25,Yes,No,No,No,No,No,No,No,No,No,No response,Moderate,No,Yes,No,Visa,None,None,No,2,2 to 5,Mastercard,Platinum,Cash back,No,2,2 to 5,19,300.93,6,116.94,Yes,Cereal,15,No,5.95,80.9,Yes,24.25,340.6,Yes,47.85,637.8,Yes,11.75,140,Yes,51.05,671.3,Yes,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
9227-RCUKBO-V8N,Zone 2,"10,000-49,999",Female,25,25-34,October,9,Did not complete high school,"Operation, Fabrication, General Labor",No,3,2 to 5,No,25,11.3,1.8645,0.622992921,0.9605,-0.040301297,No,Highly dissatisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,4,4 to 7,1,Own,Import,13.3,Economy,No,No,Walk,Non-motorized,33,No,No,No,No,No,Yes,Yes,Yes,No,No,No response,Moderate,No,No,No,Visa,Gold,Other,Yes,3,2 to 5,Mastercard,Other,Airline miles,No,2,2 to 5,13,273.23,7,204.14,No,Energy bar,6,Yes,6.2,36.6,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,Dial-up,No,No,No,No,No,Yes,21,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,No,No
1145-NMPFSU-3MP,Zone 1,"> 250,000",Female,45,35-49,January,14,High school degree,Sales and Office,No,3,2 to 5,No,30,13.6,2.1012,0.74250861,1.9788,0.6824906,No,Somewhat satisfied,Unmarried,Not married,Not married,1,2,0,0,2,0,0,0,0,Own,Single-family,23,16 to 25,2,Lease,Domestic,15.4,Economy,Yes,No,Car,Single occupancy,22,Yes,No,No,No,No,No,No,No,No,No,No response,Conservative,Yes,Yes,Yes,Mastercard,Platinum,Other,No,17,More than 15,American Express,Gold,Cash back,No,12,11 to 15,10,286.42,4,208.29,Yes,Energy bar,32,No,10.15,334.1,No,0,0,No,0,0,Yes,11.25,365,No,0,0,No,No,No,Dial-up,No,No,No,No,No,Yes,17,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
2284-IHHMYA-8N8,Zone 2,"> 250,000",Female,53,50-64,July,17,College degree,Managerial and Professional,No,11,11 to 15,No,,4.5,1.0062,0.006180859,3.6738,1.301226549,No,Somewhat satisfied,Married,18,College degree,5,10,0,1,0,0,0,5,4,Own,Single-family,21,16 to 25,3,Own,Import,41.5,Luxury,No,Yes,Car,Single occupancy,18,Yes,No,No,No,Yes,No,No,No,No,No,No response,Moderate,No,No,Yes,Discover,None,Other,No,21,More than 15,American Express,None,Other,No,15,11 to 15,10,305,5,216.17,Yes,Oatmeal,44,No,12.85,566.65,No,0,0,Yes,25.45,1111.2,Yes,16.5,730,No,0,0,Yes,No,No,Other,No,No,No,No,No,Yes,17,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
0228-XPKZOF-2W3,Zone 4,"10,000-49,999",Male,25,25-34,January,14,High school degree,Managerial and Professional,No,1,Less than 2,No,25,9.6,0.9768,-0.023473356,1.4232,0.352907857,Yes,Highly dissatisfied,Unmarried,Not married,Not married,1,2,1,1,0,0,0,0,0,Rent,Multiple-Family,3,4 to 7,2,Own,Import,11,Economy,No,Yes,Car,Single occupancy,30,Yes,No,No,Yes,No,No,No,No,No,No,Prices,Moderate,No,No,Yes,Mastercard,Gold,Airline miles,Yes,4,2 to 5,Discover,None,Other,No,2,2 to 5,14,371.71,2,40.88,Yes,Cereal,6,No,2.95,15.2,Yes,20,132.35,No,0,0,Yes,24.25,140,Yes,21.25,112.1,No,Yes,No,Cable modem,Yes,Yes,Yes,Yes,No,Yes,15,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
0630-MSYWGK-1YX,Zone 4,"2,500-9,999",Male,40,35-49,August,11,Did not complete high school,Sales and Office,No,3,2 to 5,No,54,20.7,3.733452,1.317333275,7.444548,2.007481952,Yes,Highly dissatisfied,Unmarried,Not married,Not married,1,9,0,3,0,0,0,0,6,Rent,Condominium/Townhouse,1,Less than 3,1,Own,Import,19,Economy,No,Yes,Walk,Non-motorized,27,No,No,No,Yes,No,No,No,Yes,No,Yes,No response,Slightly conservative,No,No,No,Visa,Other,Other,No,5,2 to 5,Discover,None,None,No,4,2 to 5,8,184.9,6,165.9,Yes,Cereal,13,No,5.6,84.65,Yes,23.25,311.65,No,0,0,Yes,47,555,No,0,0,No,No,No,None,Yes,Yes,Yes,Yes,Yes,Yes,23,Yes,Yes,Yes,,No,No,No,No,No,No,No,No
9166-MHBMBK-P1V,Zone 5,"2,500-9,999",Female,56,50-64,May,14,High school degree,Managerial and Professional,No,14,11 to 15,No,109,11.5,1.667155,0.511118581,10.867845,2.385808429,No,Somewhat satisfied,Unmarried,Not married,Not married,2,6,2,0,2,0,0,0,2,Own,Single-family,25,16 to 25,5,Own,Import,70.6,Luxury,Yes,Yes,Car,Single occupancy,30,Yes,No,No,No,No,No,Yes,Yes,No,No,Prices,Slightly liberal,No,No,No,Discover,Gold,Other,No,20,More than 15,Other,Other,Airline miles,No,22,More than 15,13,478.98,4,98.85,No,Oatmeal,55,No,9.55,531.65,Yes,14.25,738.95,No,0,0,No,0,0,Yes,28.65,1599.2,Yes,Yes,No,Other,Yes,No,No,Yes,No,Yes,25,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
